-12.6901536634	-38.0000000000	56.5	89.5800018311
-12.7	-38.5000000000	55.9999999147	88.3283767700
-12.6901536634	-38.0000000000	55.5	88.6857604980
-12.7	-37.5000000000	55.9999999148	88.5223617554
5.91206412979	-39.5402285110	44.7600045496	82.7459640503
6.35000007385	-40.0402285110	45.0014774146	83.2101974487
6.77808953358	-39.5402285110	45.2600045496	83.2589340210
6.35000007379	-39.0402285110	45.0014774145	83.4080352783
12.7	-35.0	56.0	98.7260131836
12.6909828771	-35.1328667386	55.5254759334	98.6367797852
12.6640330167	-35.2655610502	55.0515676780	98.5383987427
12.6193815055	-35.3977076501	54.5796155355	98.4308624268
12.5570089236	-35.5295890212	54.1086106385	98.3134231567
12.4765878910	-35.6615697819	53.6372507788	98.1852493286
12.3791242564	-35.7920080364	53.1713998701	98.0473785400
12.2650689836	-35.9206886364	52.7118262985	97.8997268677
12.1340999707	-36.0481239877	52.2567000441	97.7415924072
11.9851103514	-36.1751401412	51.8030709243	97.5707244873
11.8187544219	-36.3008666360	51.3540477285	97.3874664307
11.6368857777	-36.4239210386	50.9145677192	97.1932449341
11.4378848198	-36.5453868214	50.4807613522	96.9859008789
11.2207031091	-36.6656050078	50.0514106863	96.7630004883
10.9878175578	-36.7830650186	49.6319106478	96.5254440308
10.7380174912	-36.8984220350	49.2199213036	96.2692260742
10.4745832578	-37.0102710417	48.8204605655	95.9970550537
10.1950588786	-37.1197420587	48.4294926475	95.7017593384
9.90225710295	-37.2257662683	48.0508347561	95.3829421997
9.59371895258	-37.3292364489	47.6812983969	95.0323410034
9.27103620627	-37.4295428332	47.3230613099	94.6454849243
8.93182973317	-37.5272953714	46.9739451023	94.2105865479
8.58202625741	-37.6207413876	46.6402093302	93.7220153809
8.21981777821	-37.7104110674	46.3199604735	93.1633529663
7.84483119760	-37.7963390297	46.0130748938	92.5120010376
7.45694467623	-37.8784518031	45.7198149889	91.7423171997
7.05896071301	-37.9560957301	45.4425152495	90.8915100098
6.64824501841	-38.0297465980	45.1794764357	90.0475769043
6.22554370865	-38.0992185340	44.9313623785	89.5476989746
5.79369637783	-38.1640437400	44.6998437857	89.6532669067
5.35599996853	-38.2238171700	44.4863672500	90.2237243652
4.90778193599	-38.2792005885	44.2885693268	90.8271331787
4.45441884102	-38.3295299865	44.1088214767	91.3754425049
3.99449618366	-38.3750033365	43.9464166552	91.8311462402
3.52318613151	-38.4159934959	43.8000232290	92.2074737549
3.04550452347	-38.4519336937	43.6716653795	92.5169677734
2.56504197126	-38.4825436515	43.5623441018	92.7742309570
2.08176977376	-38.5078436244	43.4719870559	92.9941177368
1.59637411675	-38.5277945862	43.4007336208	93.1909561157
1.10853080743	-38.5423920230	43.3485999179	93.3659515381
0.616146410876	-38.5516738447	43.3154505548	93.5260086060
0.121492397116	-38.5555681286	43.3015423978	93.6785583496
-0.374345640763	-38.5540606523	43.3069262418	93.8209838867
-0.867690596762	-38.5472020970	43.3314210820	93.9532089233
-1.35767908299	-38.5350851529	43.3746958825	94.0827865601
-1.84386539322	-38.5177906897	43.4364618223	94.2089920044
-2.32838907051	-38.4952531781	43.5169529353	94.3295440674
-2.81046710185	-38.4674648692	43.6161968958	94.4521102905
-3.28974619590	-38.4343865936	43.7343335942	94.5699462891
-3.76613489625	-38.3959363229	43.8716559895	94.6938629150
-4.23076330654	-38.3528649589	44.0254822898	94.8057403564
-4.68733553009	-38.3049271091	44.1966888960	94.9225997925
-5.13726741191	-38.2519916882	44.3857439707	95.0373916626
-5.57998441755	-38.1941525793	44.5923122168	95.1521759033
-6.01471230352	-38.1315351862	44.8159457635	95.2659835815
-6.44196699251	-38.0640605527	45.0569265975	95.3783569336
-6.85878229056	-37.9922090195	45.3135392159	95.4881210327
-7.26256183465	-37.9165289569	45.5838251540	95.5955581665
-7.65507598902	-37.8367788213	45.8686470668	95.6984786987
-8.03810280950	-37.7525694459	46.1693948361	95.7987823486
-8.40567282288	-37.6652558485	46.4812291125	95.8939743042
-8.76302861760	-37.5736151980	46.8085171498	95.9839706421
-9.10716534386	-37.4783371351	47.1487959461	96.0706253052
-9.43827749801	-37.3793199222	47.5024288494	96.1507720947
-9.75501493486	-37.2769194826	47.8681447050	96.2245407104
-10.0542062604	-37.1723334646	48.2416661979	96.2902908325
-10.3397335957	-37.0643690081	48.6272535424	96.3475494385
-10.6101925768	-36.9535915417	49.0228873509	96.3945922852
-10.8669744342	-36.8394150940	49.4306603785	96.4314727783
-11.1074466404	-36.7230106670	49.8463904751	96.4561157227
-11.3315622519	-36.6045126091	50.2695978245	96.4663619995
-11.5410559472	-36.4829448638	50.7037683434	96.4610748291
-11.7315306001	-36.3609666527	51.1394048117	96.4382629395
-11.9060603507	-36.2367867350	51.5829045178	96.3970260620
-12.0645036730	-36.1103067487	52.0346187547	96.3353195190
-12.2049280228	-35.9830202223	52.4892134917	96.2540512085
-12.3273251908	-35.8551260971	52.9459782246	96.1572113037
-12.4328387935	-35.7253475731	53.4094729531	96.0529479980
-12.5210587797	-35.5939818013	53.8786364240	95.9558334351
-12.5913920670	-35.4620033632	54.3499879885	95.8902511597
-12.6437454537	-35.3301799393	54.8207859309	95.8852767944
-12.6786974633	-35.1974152886	55.2949453978	95.9580917358
-12.6960116676	-35.0646272705	55.7691883197	96.1132583618
-12.6957807940	-34.9318744381	56.2433055781	96.3404312134
-12.6781549837	-34.7998451422	56.7148387780	96.6155090332
-12.6429562741	-34.6674382395	57.1877205731	96.912109375
-12.5900889627	-34.5352001706	57.6599993906	97.2052230835
-12.5189469887	-34.4025198131	58.1338578104	97.4856338501
-12.4296008377	-34.2703023136	58.6060631658	97.7450714111
-12.3239407034	-34.1410583698	59.0676486794	97.9790115356
-12.2006649078	-34.0128490451	59.5255391245	98.1918029785
-12.0591722032	-33.8851754187	59.9815163619	98.3855895996
-11.8998539620	-33.7585527322	60.4337402421	98.5610198975
-11.7250371281	-33.6346631682	60.8762029707	98.7178115845
-11.5326670252	-33.5119542454	61.3144491237	98.8595275879
-11.3232076851	-33.3908716495	61.7468869660	98.9866485596
-11.0992957592	-33.2728739097	62.1683074652	99.0997848511
-10.8603494658	-33.1575157750	62.5803008036	99.2004852295
-10.6042622210	-33.0438809620	62.9861394215	99.2907104492
-10.3329595429	-32.9329681488	63.3822566113	99.3708419800
-10.0467847219	-32.8249714536	63.7679590942	99.4412994385
-9.74345867487	-32.7192005982	64.1457121492	99.5039215088
-9.42799265420	-32.6174864726	64.5089768836	99.5584259033
-9.09883328735	-32.5192680124	64.8597570985	99.6058654785
-8.75357445282	-32.4238683340	65.2004702359	99.6469802856
-8.39671333597	-32.3325350976	65.5266603658	99.6811981201
-8.02498208276	-32.2444352574	65.8413026522	99.7095947266
-7.64242219006	-32.1605499391	66.1408930745	99.7318191528
